"Title","Year","Description","Directors","Collections","Duration","Actors"
"Jia Zhangke, A Guy from Fenyang (2014)","2014","Brazilian filmmaker Walter Salles accompanies the prolific Chinese director Jia Zhangke on a walk down memory lane as he revisits his hometown and other locations used in creating his ever-growing body of work. At each stop, they visit Jia’s family, friends, and former colleagues, and their conversations range from his mother’s tales of him as a young boy and memories of his father to the shared understanding that if not for pirated DVDs much of Jia’s work would go unseen in China. All roads traveled are part of one journey, the destination of which is Jia’s relationship to his past and to his country. The confluence of storytelling, intellect, and politics informing all of Jia’s work is brought to light in this lovely, intimate portrait of the artist on his way to the future.<LF>","Walter Salles","Criterion:Directed by Jia Zhangke","1:39:04",""
"Permanent Vacation (1980) (FC)","0","Jim Jarmusch’s first feature displays the first hints of the deadpan, minimalist-cool style that he would refine in his breakthrough STRANGER THAN PARADISE. Young, alienated hipster Aloysius Christopher Parker (Chris Parker) wanders an eerily vacant Manhattan searching for a sense of meaning while encountering an array of idiosyncratic characters. Downtown fixtures Sara Driver, Eric Mitchell, and John Lurie (who composed the film’s score) are among the eccentrics and vagabonds populating this existential urban odyssey.<LF>","","Criterion:Directed by Jim Jarmusch","0:09",""
"Stranger Than Paradise (1984)","0","With this breakout film, Jim Jarmusch established himself as one of the most exciting voices in the burgeoning independent-film scene, a road-movie poet with an affinity for Americana at its most offbeat. Jarmusch follows rootless Hungarian émigré Willie (John Lurie), his pal Eddie (Richard Edson), and his visiting sixteen-year-old cousin, Eva (Eszter Balint), as they drift from New York’s Lower East Side to the snowy expanses of Lake Erie and the drab beaches of Florida, always managing to make the least of wherever they end up. Structured as a series of master-shot vignettes etched in black and white by cinematographer Tom DiCillo, STRANGER THAN PARADISE is a nonchalant masterpiece of deadpan comedy and perfectly calibrated minimalism.<LF>","","Criterion:Directed by Jim Jarmusch","0:08",""
"Down by Law (1986) (FC)","0","Director Jim Jarmusch followed up his brilliant breakout film STRANGER THAN PARADISE with another, equally beloved portrait of loners and misfits in the American landscape. When fate brings together three hapless men—an unemployed disc jockey (Tom Waits), a small-time pimp (John Lurie), and a strong-willed Italian tourist (Roberto Benigni)—in a Louisiana prison, a singular adventure ensues. Described by Jarmusch as a “neo-Beat noir comedy,” DOWN BY LAW is part nightmare and part fairy tale, featuring sterling performances and crisp black-and-white cinematography by the esteemed Robby Müller.<LF>","","Criterion:Directed by Jim Jarmusch","0:08",""
"Night on Earth (1991) (FC)","0","Five cities. Five taxicabs. A multitude of strangers in the night. Jim Jarmusch assembled an extraordinary international cast of actors (including Gena Rowlands, Winona Ryder, Armin Mueller-Stahl, Béatrice Dalle, and Roberto Benigni) for this quintet of transitory tales of urban displacement and existential angst, all staged as encounters between cabbies and their fares. Spanning time zones, continents, and languages, NIGHT ON EARTH winds its course through scenes of uproarious comedy, nocturnal poetry, and somber fatalism, set to a moody soundtrack by Tom Waits. Jarmusch’s lovingly askew view of humanity from the passenger seat makes for one of his most charming and beloved films, a freewheeling showcase for the cosmopolitan range of his imagination.<LF>","","Criterion:Directed by Jim Jarmusch","0:09",""
"Dead Man (1995) (FC)","0","With DEAD MAN, his first period piece, Jim Jarmusch imagined the nineteenth-century American West as an existential wasteland, delivering a surreal reckoning with the ravages of industrialization, the country's legacy of violence and prejudice, and the natural cycle of life and death. Accountant William Blake (Johnny Depp) has hardly arrived in the godforsaken outpost of Machine before he's caught in the middle of a fatal lovers' quarrel. Wounded and on the lam, Blake falls under the watch of the outcast Nobody (Gary Farmer), who guides his companion on a spiritual journey, teaching him to dispense poetic justice along the way. Featuring austerely beautiful black-and-white photography by Robby Müller and a live-wire score by Neil Young, DEAD MAN is a profound and unique revision of the western genre.<LF>","","Criterion:Directed by Jim Jarmusch","0:08",""
"Only Lovers Left Alive (2013)","2013","Adam (Tom Hiddleston) and Eve (Tilda Swinton) are two sensitive and sophisticated vampires who have been lovers for centuries. Both are cultured intellectuals with a passion for music, literature, and science, who have evolved to a point where they no longer kill for sustenance, but still retain their innate wildness. Their love story has endured for hundreds of years, but their debauched idyll is threatened by the uninvited arrival of Eve’s carefree little sister Ava (Mia Wasikowska) who hasn’t yet learned to tame her more base instincts. Driven by sensuous photography, trancelike music, and droll humor, Jim Jarmusch’s ONLY LOVERS LEFT ALIVE is an arrestingly unique meditation on art, culture, and the mysteries of everlasting love.<LF>","Jim Jarmusch","Criterion:Directed by Jim Jarmusch","2:02:21","Tom Hiddleston; Tilda Swinton; Mia Wasikowska"
"Directed by John Huston Teaser","0","By the time the thirty-one-year-old John Huston settled in Hollywood in 1937, he had already been, among other things, a professional boxer, a painter in Paris, and an honorary member of the Mexican cavalry—all experiences that would lend color and vividness to the extraordinary body of work he would produce over the next fifty years. The son of actor Walter Huston and father of Anjelica Huston, both of whom he would direct in Academy Award–winning performances, Huston contributed classics to nearly every genre, with a special affinity for film noir (THE ASPHALT JUNGLE) and brash adventure (THE AFRICAN QUEEN). An accomplished writer himself, Huston had a particular affinity for literary adaptations, transforming works by Tennessee Williams (THE NIGHT OF THE IGUANA), Leonard Gardner (FAT CITY), Flannery O’Connor (WISE BLOOD), James Joyce (THE DEAD), and others into indelible screen art imbued with his own incisive, iconoclastic observations on the human condition.<LF>","","Criterion:Directed by John Huston","1:35",""
"Across the Pacific (1942)","1942","John Huston reunited with the stars of THE MALTESE FALCON—Humphrey Bogart, Mary Astor, and Sydney Greenstreet—for this rousing wartime spy thriller. Set on the eve of America’s entry into World War II, ACROSS THE PACIFIC was, incredibly, originally intended to be about a Japanese plot to attack Pearl Harbor—with the target changed to Panama when fiction became reality midway through production. Bogart is the American officer who, having been booted out of the army on false charges of treason, finds himself bound for Asia aboard a Japanese freighter, where he soon becomes entangled in a web of intrigue and espionage.<LF>","John Huston","Criterion:Directed by John Huston","1:36:43","Humphrey Bogart; Mary Astor; Sydney Greenstreet"
"In This Our Life (1942) (FC)","0","What Stanley Timberlake wants, she takes. So, on the eve of her marriage to another, she runs off with her sister’s husband, the first of many betrayals that lead to disaster—and to a compulsively watchable brew of deceit, racial bigotry, latent incest, and violent death. Two-time best actress Oscar winners and lifelong friends Bette Davis and Olivia de Havilland square off as the sisters (guess who’s the bad one) in this must-see for fans of melodrama at its juiciest. Director John Huston, fresh from the success of THE MALTESE FALCON, includes a cameo role for his father, Walter. And Max Steiner’s powerful music underscores the film’s driving emotional force.<LF>","","Criterion:Directed by John Huston","0:07",""
"Key Largo (1948)","1948","The final film pairing of Humphrey Bogart and Lauren Bacall is a torrid noir chamber piece adapted from Maxwell Anderson’s play of the same name and directed with sweltering, claustrophobic tension by John Huston. A hurricane swells outside, but it’s nothing compared to the storm brewing within the walls of the Hotel Largo in the Florida Keys. It’s there that sadistic mobster Johnny Rocco (Edward G. Robinson) holds hotel owner Nora Temple (Bacall) and her invalid father-in-law (Lionel Barrymore) hostage at gunpoint—with world weary ex-GI Frank McCloud (Bogart) as perhaps the one man capable of standing up to him. Claire Trevor received a best supporting actress Oscar for her searing portrayal of Rocco’s gold-hearted, boozy moll.<LF>","John Huston","Criterion:Directed by John Huston","1:40:43","Humphrey Bogart; Edward G. Robinson; Lauren Bacall"
"Asphalt Jungle, The (1950)","1950","In a smog-choked city somewhere in the American Midwest, an aging criminal mastermind, newly released from prison, hatches a plan for a million-dollar jewel heist and draws a wealthy lawyer and a cherry-picked trio of outlaws into his carefully devised but inevitably doomed scheme. Anchored by an abundance of nuanced performances from a gifted ensemble—including a tight-jawed Sterling Hayden and a sultry Marilyn Monroe in her breakout role—this gritty crime classic by John Huston climaxes in a meticulously detailed anatomy of a robbery that has reverberated through the genre ever since. An uncommonly naturalistic view of a seamy underworld, THE ASPHALT JUNGLE painstakingly depicts the calm professionalism and toughness of its gangster heroes while evincing a remarkable depth of compassion for their all-too-human fragility, and it showcases a master filmmaker at the height of his powers.<LF>","John Huston","Criterion:Directed by John Huston","1:52:34","Sterling Hayden; Louis Calhern; Jean Hagen; Marilyn Monroe"
"African Queen, The (1951)","1951","Humphrey Bogart won his one and only Academy Award for his role as the prickly, hard-drinking boat captain who—with Katharine Hepburn’s straitlaced Methodist missionary in tow—embarks on a perilous voyage down the rivers of German East Africa as World War I breaks out around them. Stunningly shot in Technicolor on location in the jungles of Uganda and the Congo by the great Jack Cardiff (during what was an infamously difficult production), John Huston’s rollicking action classic has inspired a raft of romantic adventures, few of which can match it for the lightning-in-a-bottle chemistry between its legendary leads.<LF>","John Huston","Criterion:Directed by John Huston","1:45:52","Humphrey Bogart; Katharine Hepburn; Robert Morley"
"Moulin Rouge (1952)","1952","The bohemian decadence of fin de siècle Paris blazes to life in glorious Technicolor in John Huston’s evocative (albeit largely fictionalized) look at the life and world of celebrated painter Henri de Toulouse-Lautrec. A magnificent José Ferrer stars as the tormented artist, whose paintings immortalized the spirit of the famed Moulin Rouge nightclub and whose turbulent relationship with a prostitute (Colette Marchand) leads him into ruin. Huston won the Silver Lion at the Venice Film Festival for his visually expressive direction, while the film garnered Oscars for best art direction and costume design.<LF>","John Huston","Criterion:Directed by John Huston","1:59:33","José Ferrer; Zsa Zsa Gabor; Suzanne Flon; Colette Marchand"
"Moby Dick (1956)","1956","Given John Huston’s dauntless appetite for difficult page-to-screen adaptations, it’s no surprise that he set his sights on the leviathan of American literature. With Gregory Peck cast against type as the obsessive Captain Ahab and much of Herman Melville’s philosophical ambition streamlined for the screen, the film was met with a mixed critical reception at the time. Yet its gorgeous location photography (with colors muted to evoke nineteenth-century engravings), the richly textured screenplay by Huston and Ray Bradbury, and a cast that includes Richard Basehart and Orson Welles make MOBY DICK masterful spectacle, as well as an awe-inspiring display of its director’s mad ambition.<LF>","John Huston","Criterion:Directed by John Huston","1:55:33","Gregory Peck; Richard Basehart; Leo Genn; Orson Welles"
"Heaven Knows, Mr. Allison (1957) (FC)","0","John Huston reworks the ingredients of THE AFRICAN QUEEN in another tale of wartime adventure and odd-couple romance. Robert Mitchum is the American marine who finds himself marooned on a Japanese-occupied island during World War II, alongside an Irish nun (Deborah Kerr) with whom he forms a deep emotional bond that gradually blossoms into love. The palpable chemistry between Mitchum and Kerr, marvelous CinemaScope cinematography, and Oscar-nominated screenplay by Huston and John Lee Mahin come together in a captivating survival saga that Mitchum would cite as his own personal favorite among his films.<LF>","","Criterion:Directed by John Huston","0:14",""
"Freud (1962)","1962","One of John Huston’s most fascinatingly experimental projects casts Montgomery Clift (broodingly intense in his penultimate screen performance) as Sigmund Freud, whose work with a troubled young woman (Susannah York) leads to his pioneering achievements in psychoanalysis. Scripted in part by an uncredited Jean-Paul Sartre (who had his name removed due to creative differences) and awash in stark, expressionistic dreamscapes, FREUD represents Huston’s daring attempt to make visual the innermost mysteries of the mind.<LF>","John Huston","Criterion:Directed by John Huston","2:20:08","Montgomery Clift; Susannah York; Larry Parks"
"vlc-record-2021-11-25-08h29m59s-Night of the Iguana, The (1964)-","0","Richard Burton, Ava Gardner, and Deborah Kerr lead a powerhouse cast in John Huston’s feverish adaptation of the acclaimed play by Tennessee Williams. Defrocked, alcoholic former priest T. Lawrence Shannon (Burton) has fallen far in his quest to sate his base, libidinous urges. Now working as a tour guide in Mexico for a group of female schoolteachers from the U.S., Shannon embarks on a dark night of the soul in which alcohol, temptation, lust, and the sweltering tropical heat gradually rip away the repressed facades of all involved and lay bare the perversions and personal demons roiling beneath.<LF>","","Criterion:Directed by John Huston","0:05",""
"Reflections in a Golden Eye (1967)","1967","“An Army post in peacetime is a dull place.” So begins Carson McCullers’s famous novel of secret passion, REFLECTIONS IN A GOLDEN EYE. But beneath the smooth surface of military routine, a deadly tension mounts. Marlon Brando and Elizabeth Taylor star in John Huston’s startling and complex screen adaptation. He’s a hidebound career officer wrestling with his homosexual desires; she’s a caged lioness desperate for love, whatever the source. Their troubled relationship plays out under the voyeuristic gaze of a young soldier (Robert Forster) soon to become the focal point of the tragedy.<LF>","John Huston","Criterion:Directed by John Huston","1:49:13","Elizabeth Taylor; Marlon Brando; Brian Keith; Robert Forster"
"Walk with Love and Death, A (1969)","1969","Anjelica Huston made her screen debut under the direction of her father, John Huston, in this medieval romance that ranks among the filmmaker’s most sensitive, often overlooked works. Read by critics as a commentary on the Vietnam War and the student uprisings of 1968, A WALK WITH LOVE AND DEATH unfolds in France in 1358 amid the tumult of the Jacquerie peasant revolt and the ongoing conflict of the Hundred Years’ War. It’s there that a Parisian university student (Assi Dayan) and a young noblewoman (Anjelica Huston) find refuge from the strife that surrounds them in their love for one another—but in a world turned upside down, lasting happiness may only be an illusion.<LF>","John Huston","Criterion:Directed by John Huston","1:30:23","Anjelica Huston; Assi Dayan; Anthony Higgins"
"Fat City (1972)","1972","John Huston’s adaptation of the cult novel by Leonard Gardner (who also wrote the screenplay) stands as one of the finest and most achingly human films ever made about the desperate, less-than-glamorous side of boxing. On the down-and-out margins of Stockton, California, washed-up, alcoholic boxer Billy Tully (Stacy Keach) finds himself in limbo between retirement and his youthful prime. Sparring with budding, eighteen-year-old fighter Ernie (Jeff Bridges) inspires Tully to get back in the ring—but as the young man’s career ascends, Tully finds himself battling against his inner demons in his quest to make a comeback.<LF>","John Huston","Criterion:Directed by John Huston","1:36:49","Stacy Keach; Jeff Bridges; Susan Tyrrell"
"Man Who Would Be King, The (1975)","1975","John Huston had been hoping to bring his adaptation of Rudyard Kipling’s novella THE MAN WHO WOULD BE KING to the screen for decades when he finally got the chance in the midseventies—and the result was one of the greatest triumphs of his late career. Christopher Plummer (as Kipling) narrates this sweeping tale of adventure and folly, with Sean Connery and Michael Caine as Daniel Dravot and Peachy Carnehan, nineteenth-century Englishmen whose search for fame and fortune leads them to the remote mountains of Afghanistan, where they are mistaken for gods by the local inhabitants. The deception brings them power and wealth—until the deluded Dravot begins to believe in his own divinity.<LF>","John Huston","Criterion:Directed by John Huston","2:09:01","Sean Connery; Michael Caine; Christopher Plummer"
"Wise Blood (1979) (FC)","1979","In this acclaimed adaptation of the first novel by legendary Southern writer Flannery O’Connor, John Huston vividly brings to life her poetic world of American eccentricity. Brad Dourif, in an impassioned performance, is Hazel Motes, who, fresh out of the army, attempts to open the first Church Without Christ in the small town of Taulkinham. Populated with inspired performances that seem to spring right from O’Connor’s pages, Huston’s WISE BLOOD is an incisive portrait of spirituality and Evangelicalism, and a faithful, loving evocation of a writer’s vision.<LF>","","Criterion:Directed by John Huston","0:09",""
"Annie (1982)","1982","It’s a hard knock life! One of the most beloved movie musicals of all time—adapted from the smash Broadway hit based on the popular “Little Orphan Annie” comic strip—is a ray of cinematic sunshine. Aileen Quinn stars as the spunky, Depression-era orphan who tangles with the tyrannical Miss Hannigan (Carol Burnett) while charming her way into the life of the megawealthy Oliver “Daddy” Warbucks (Albert Finney). The only musical directed by John Huston is unabashedly feel-good, razzle-dazzle entertainment that has uplifted generations with its boisterous songs and winning performances.<LF>","John Huston","Criterion:Directed by John Huston","2:07:34","Aileen Quinn; Albert Finney; Carol Burnett"
"Under the Volcano (1984) (FC)","1984","UNDER THE VOLCANO follows the final day in the life of self-destructive British consul Geoffrey Firmin (Albert Finney, in an Oscar-nominated tour de force) on the eve of World War II. Withering from alcoholism, Firmin stumbles through a small Mexican village amidst the Day of the Dead fiesta, attempting to reconnect with his estranged wife (Jacqueline Bisset) but only further alienating himself. John Huston’s ambitious tackling of Malcolm Lowry’s towering “unadaptable” novel gave the incomparable Finney one of his grandest roles and was the legendary THE TREASURE OF THE SIERRA MADRE director’s triumphant return to filmmaking in Mexico.<LF>","","Criterion:Directed by John Huston","0:08",""
"Dead, The (1987)","1987","The final film directed by John Huston—completed by the ailing director just months before his death and released posthumously—is a triumphant farewell from an artist in total command of his craft and fearlessly confronting his own mortality. Faithfully adapted from the celebrated short story by James Joyce, THE DEAD unfolds on a snowy night in turn-of-the-century Dublin during and after a Feast of Epiphany dinner party as married couple Gretta (Anjelica Huston) and Gabriel Conroy (Donal McCann) find themselves quietly shaken by memories of the past, the mysteries of love, and the inexorability of death.<LF>","John Huston","Criterion:Directed by John Huston","1:23:21","Anjelica Huston; Donal McCann; Helena Carroll"
"Dragonwyck (1946)","1946","Joseph L. Mankiewicz made his directorial debut with this spellbinding period chiller awash in gothic atmosphere. In 1844, innocent Miranda Wells (Gene Tierney) comes to work for her distant relative Nicholas Van Ryn (Vincent Price) as a governess. His infatuation with her leads him to murder his wife. But Van Ryn subsequently slips into a miasma of depression and drugs, while Dr. Turner (Glenn Langan) falls in love with Miranda and discovers that she may be next on Van Ryn’s murder list.<LF>","Joseph L. Mankiewicz","Criterion:Directed by Joseph L. Mankiewicz","1:42:57","Gene Tierney; Walter Huston; Vincent Price"
"Ghost and Mrs. Muir, The (1947)","1947","In early-1900s England, independent-minded widow Lucy Muir (Gene Tierney) rents a house by the ocean that she soon discovers is haunted by the ghost of a cantankerous sea captain (Rex Harrison). Gradually, a surprising friendship forms between these two misfit souls—one that eventually blossoms into a love that transcends time and physical reality. Unforgettable performances, atmospheric cinematography, and one of composer Bernard Herrmann’s most haunting scores come together in this sublime romantic fantasy, which blends wry wit with a deeply moving tenderness.<LF>","Joseph L. Mankiewicz","Criterion:Directed by Joseph L. Mankiewicz","1:44:31","Gene Tierney; Rex Harrison; George Sanders"
"House of Strangers (1949)","1949","A psychologically gripping, noir-tinged drama of a family riven by hatred and revenge, HOUSE OF STRANGERS stars Edward G. Robinson (winner of the Best Actor prize at Cannes) as Gino Monetti, a crooked Italian American banker who uses cruelty to control his four adult sons. When Monetti is put on trial for his many illicit dealings, three of the four sons turn their back on their father, while only one (Richard Conte) remains loyal—setting up a bitter schism that threatens to boil over into violence.<LF>","Joseph L. Mankiewicz","Criterion:Directed by Joseph L. Mankiewicz","1:41:04","Edward G. Robinson; Susan Hayward; Richard Conte"
"Letter to Three Wives, A (1949)","1949","Just as they are about to embark on a picnic day trip, three country club wives receive a letter from their acid-tongued “friend” Addie Ross informing them that she has run off with one of their husbands. The catch: she doesn’t indentify which man she has eloped with. Cue a flood of flashbacks as each woman begins reexamining her relationship—and where it may have gone wrong. A stellar ensemble cast—led by Jeanne Crain, Linda Darnell, Ann Sothern, Paul Douglas, Kirk Douglas, Jeffrey Lynn, and Thelma Ritter—lends emotional weight to writer-director Joseph L. Mankiewicz’s typically brilliant, cuttingly witty dialogue.<LF>","Joseph L. Mankiewicz","Criterion:Directed by Joseph L. Mankiewicz","1:43:15","Linda Darnell; Ann Sothern; Jeanne Crain; Paul Douglas; Kirk Douglas; Jeffrey Lynn; Thelma Ritter"
"No Way Out (1950) (FC)","1950","","","Criterion:Directed by Joseph L. Mankiewicz","0:12",""
"All About Eve (1950)","1950","In Joseph L. Mankiewicz’s devastatingly witty Hollywood classic, backstage is where the real drama plays out. One night, Margo Channing (Bette Davis) entertains a surprise dressing-room visitor: her most adoring fan, the shy, wide-eyed Eve Harrington (Anne Baxter). But as Eve becomes a fixture in Margo’s life, the Broadway legend soon realizes that her supposed admirer intends to use her and everyone in her circle, including George Sanders’s acid-tongued critic, as stepping-stones to stardom. Featuring stiletto-sharp dialogue and direction by Mankiewicz, and an unforgettable Davis in the role that revived her career and came to define it, the multiple-Oscar-winning ALL ABOUT EVE is the most deliciously entertaining film ever made about the ruthlessness of show business.<LF>","Joseph L. Mankiewicz","Criterion:Directed by Joseph L. Mankiewicz","2:18:35","Bette Davis; Anne Baxter; George Sanders"
"People Will Talk (1951)","1951","One of Joseph L. Mankiewicz’s most personal and offbeat creations wraps a passionate rebuke of McCarthy-style political persecution in the form of a sophisticated romantic seriocomedy. Cary Grant brings his celebrated light touch to the role of Dr. Noah Praetorius, a professor and head of a medical clinic who becomes the subject of a dubious investigation initiated by a jealous colleague (Hume Cronyn) while along the way developing a relationship with a troubled young woman (Jeanne Crain) facing a personal crisis.<LF>","Joseph L. Mankiewicz","Criterion:Directed by Joseph L. Mankiewicz","1:50:25","Cary Grant; Jeanne Crain; Finlay Currie; Hume Cronyn"
"5 Fingers (1952)","1952","Based on a true story, this sophisticated espionage thriller stars James Mason as a valet to the British ambassador in Turkey during World War II who decides to improve his lot by selling his employer’s top-secret documents to the Nazis. Abetted by outstanding performances from Mason, Danielle Darrieux, and Michael Rennie, director Joseph L. Mankiewicz spins an elegant and ironic tale of professional, personal, and romantic deception that crackles with venomous dialogue, startling double crosses, and suspense worthy of Hitchcock.<LF>","Joseph L. Mankiewicz","Criterion:Directed by Joseph L. Mankiewicz","1:48:03","James Mason; Danielle Darrieux; Michael Rennie"
"Guys and Dolls (1955)","1955","The only musical directed by Joseph L. Mankiewicz is also one of the finest song-and-dance spectaculars of the 1950s: a colorfully scripted, endlessly tuneful, and visually imaginative adaptation of the Broadway hit inspired by Damon Runyon’s vivid tales of gangsters, lowlifes, and crooks. Frank Sinatra is Nathan Detroit, organizer of New York’s “oldest established permanent floating crap game,” while Marlon Brando (doing his own singing in his only musical) is the high-rolling gambler Sky Masterson who makes a bet that leads to unexpected romance with a prim Salvation Army missionary (Jean Simmons). Brando sings “Luck Be a Lady” while Stubby Kaye brings down the house with a showstopping rendition of “Sit Down, You’re Rockin’ the Boat.”<LF>","Joseph L. Mankiewicz","Criterion:Directed by Joseph L. Mankiewicz","2:30:18","Marlon Brando; Jean Simmons; Frank Sinatra"
"Quiet American, The (1958)","1958","Joseph L. Mankiewicz’s absorbing adaptation of Graham Greene’s influential novel showcases the director’s gift for crafting literate dialogue and complex characters. Strikingly filmed on location in Saigon, it charts the clash between an enigmatic American economist (Audie Murphy) and a cynical British journalist (a superb Michael Redgrave) as they become both ideological and romantic rivals amid the turbulent politics of 1950s Vietnam. Though Greene was incensed that his anti-imperialist political message was heavily diluted, THE QUIET AMERICAN succeeds as a compelling human drama.<LF>","Joseph L. Mankiewicz","Criterion:Directed by Joseph L. Mankiewicz","2:02:07","Audie Murphy; Michael Redgrave; Claude Dauphin"
"Suddenly, Last Summer (1959)","1959","Gay panic, incest, and a sprinkling of cannibalism: Tennessee Williams’s one-act southern-gothic shocker gets an appropriately lurid screen adaptation cowritten by Gore Vidal and Williams himself. Katharine Hepburn is deliciously perverse as a malevolent New Orleans matriarch trying to convince a brain surgeon (Montgomery Clift) to lobotomize her troubled niece (Elizabeth Taylor). But what long-buried traumatic memory is the girl suppressing?<LF>","Joseph L. Mankiewicz","Criterion:Directed by Joseph L. Mankiewicz","1:54:27","Elizabeth Taylor; Katharine Hepburn; Montgomery Clift"
"Cleopatra (1963)","1963","Born of one of the most infamously troubled productions in cinema history, this gargantuan historical epic stands as a lavish pinnacle of studio-era spectacle. Director Joseph L. Mankiewicz (a last-minute replacement for original helmer Rouben Mamoulian) drove himself to the brink to realize this sprawling tale of power and betrayal, in which the legendary Egyptian queen (Elizabeth Taylor) embarks on a tragic affair with the Roman Marc Antony (Richard Burton) as she attempts to save her empire. The scandalous real-life affair between Taylor and Burton ignited a tabloid frenzy—and helped make CLEOPATRA one of the most talked-about films of its time.<LF>","Joseph L. Mankiewicz","Criterion:Directed by Joseph L. Mankiewicz","4:11:15","Elizabeth Taylor; Richard Burton; Rex Harrison"
"There Was a Crooked Man . . . (1970) (FC)","0","In this boisterous yet blisteringly cynical western with an all-star cast, the supposedly incorruptible warden (Henry Fonda) of an Arizona penitentiary meets his match in a scheming inmate (Kirk Douglas) with a fortune of loot stashed away in the desert. In his only foray into the genre, director Joseph L. Mankiewicz cleverly lassoes a twisting, turning Wild West tale of brawls, chases, shootouts, and wry wit, featuring a script by BONNIE AND CLYDE screenwriters David Newman and Robert Benton and solid support from Hume Cronyn, Burgess Meredith, Warren Oates, and Lee Grant.<LF>","","Criterion:Directed by Joseph L. Mankiewicz","0:12",""
"Butter On The Latch (2013)","2013","Josephine Decker’s senses-stunning debut feature is a mysterious, erotic portrait of Sarah (Sarah Small), a frantic young woman who leaves the city for the apparent safety of a Balkan-music camp hidden deep in the California woods. There, as the swirling strains of the Balkan melodies grow increasingly disorienting, Sarah’s already-frayed grip on reality starts to unravel—leading to a shattering moment of transcendent violence. With shades of Ingmar Bergman’s PERSONA and early David Lynch, BUTTER ON THE LATCH splices visceral intensity with moments of serene, startling poetry.<LF><LF>At a balkan folk festival deep in a California forest, Sarah reunites with her old friend Isolde for a trip of stories and sensations, as they embrace the lush natural surroundings. But when Sarah meets and decides to seduce a handsome male camper, reality and myth become hopelessly entangled.<LF><LF>Intrepid filmmaker and performance artist Josephine Decker dazzled the Berlinale with this sinister and rewardingly disorienting thriller. A free-form head trip and truly independent debut, Butter on the Latch takes us on a semi-mythical journey through the woods and into the throes of friendship.<LF>","Josephine Decker","Criterion:Directed by Josephine Decker","1:10:22","Isolde Chae-Lawrence; Stephan Goldbach; Charlie Hewson; Sarah Small"
"Thou Wast Mild And Lovely (2014)","2014","Josephine Decker’s acclaimed sophomore feature unfolds with the lyricism and inexorable sense of tragedy of an Appalachian murder ballad. Indie director Joe Swanberg delivers a beautifully understated performance as Akin, a soft-spoken farmworker who takes a summer job working for the belligerent, domineering Jeremiah (Robert Longstreet). Akin’s presence, and his attraction to Jeremiah’s daughter Sarah (Sophie Traub), soon intrudes dangerously upon the pair’s incestuous isolation. Decker’s vision of paradise lost—dew clinging to a spider’s web, the insistent hum of insects, a young girl writhing on the grass—is unforgettably sensuous and poetic, and seems to echo forth from ages past.<LF><LF>Akin has taken a summer job on Jeremiah’s farm and develops an attraction to Jeremiah’s daughter, Sarah. The budding relationship unveils Jeremiah’s jealousy. But Akin has secrets too, and as they begin to surface, his attempts to cover them up lead to a twisty, mesmerizing finale.<LF><LF>A true auteur on the U.S. indie scene, Josephine Decker’s second feature (which was funded partly on Kickstarter!) unfolds like an atmospheric and erotic dream. Decker reworks the psychodrama of Bergman and the impressionism of Malick into an utterly unique, intensely primal experiment.<LF>","Josephine Decker","Criterion:Directed by Josephine Decker","1:17:25","Joe Swanberg; Robert Longstreet; Sophie Traub; Kristin Slaysman"
"Flames (2017)","2017","Filmed over five years, FLAMES follow real-life couple Josephine Decker and Zefrey Throwell from the white-hot passion of a new love to the heartbreak of the bitter end. High on their intense connection, the two artists document their relationship’s every beat, from their adventurous sex life, to their performance art collaborations, to a spur-of-the-moment getaway to the Maldives. But when the romantic vacation doesn’t go as planned, the pair are left to decide what to do with their film-in-progress. As they continue shooting, reconstructing what happened and where it all went wrong, the lines begin to blur between what was real and what was “the film”—if there’s even a difference anymore.<LF>","Zefrey Throwell; Josephine Decker","Criterion:Directed by Josephine Decker","1:24:43","Josephine Decker; Zefrey Throwell; Michael Melamedoff"
"Squeezebox (2010)","2010","A girl experiences a strange and surreal encounter in an accordion shop.<LF>","Josephine Decker","Criterion:Directed by Josephine Decker","11:44",""
"Me the Terrible (2012)","2012","With her trusted teddy bear in tow, a young pirate sets out to conquer the island of Manhattan in this exuberantly imaginative DIY fantasia.<LF>","Josephine Decker","Criterion:Directed by Josephine Decker","11:10","Lisa Diaz; Adriana Disman; Maggie Marion"
"First Day Out (2016)","2016","The words of formerly incarcerated men form the soundtrack to this bracing experimental dance film.<LF>","Josephine Decker","Criterion:Directed by Josephine Decker","9:56",""
"Mask Task, The (2018)","2018","Josephine Decker employs uncanny masks, intricate sound design, and choreography inspired by Japanese butoh to create a visceral exploration of fear, stress, and childhood development.<LF>","Josephine Decker","Criterion:Directed by Josephine Decker","10:25",""
"Tampopo (1985) (FC)","0","The tale of an eccentric band of culinary ronin who guide the widow of a noodle-shop owner on her quest for the perfect recipe, this rapturous ""ramen western"" by Japanese director Juzo Itami is an entertaining, genre-bending adventure underpinned by a deft satire of the way social conventions distort the most natural of human urges, our appetites. Interspersing the efforts of Tampopo (Nobuko Miyamoto) and friends to make her café a success with the erotic exploits of a gastronome gangster and glimpses of food culture both high and low, the sweet, sexy, and surreal TAMPOPO is a lavishly inclusive paean to the sensual joys of nourishment, and one of the most mouthwatering examples of food on film ever made.<LF>","","Criterion:Directed by Juzo Itami","0:15",""
